file,sentence,citance,citance_masked_citseg,sentence_id,sentence_index,div_path,left_3,left_2,left_1,right_1,right_2,right_3,left_context,right_context,citance_context,sequence_masked_citseg,raw_ref_text,CFunc,TYPE,SELF,tag,attributes
Teufel_original_dataset/CFC_distribution/additional/0008026.cfc-scixml,R & S reported a ratio of.17 valid to total entries for both the vehicle and weapon categories (see table 2).,R & S reported a ratio of.17 valid to total entries for both the vehicle and weapon categories (see table 2).,(CITSEG) reported a ratio of.17 valid to total entries for both the vehicle and weapon categories (see table 2).,S-140,140,DIV-7,"Most common adjectives are dropped in our compound noun analysis, since they occur with a wide variety of heads.",We determined three ways to evaluate the output of the algorithm for usefulness.,The first is the ratio of valid entries to total entries produced.,"On the same corpus, our algorithm yielded a ratio of.329 valid to total entries for the category vehicle, and.36 for the category weapon.",This can be seen in the slope of the graphs in figure 1.,Tables 2 and 5 give the relevant data for the categories that we investigated.,"Most common adjectives are dropped in our compound noun analysis, since they occur with a wide variety of heads. We determined three ways to evaluate the output of the algorithm for usefulness. The first is the ratio of valid entries to total entries produced.","On the same corpus, our algorithm yielded a ratio of.329 valid to total entries for the category vehicle, and.36 for the category weapon. This can be seen in the slope of the graphs in figure 1. Tables 2 and 5 give the relevant data for the categories that we investigated.","Most common adjectives are dropped in our compound noun analysis, since they occur with a wide variety of heads. We determined three ways to evaluate the output of the algorithm for usefulness. The first is the ratio of valid entries to total entries produced. R & S reported a ratio of.17 valid to total entries for both the vehicle and weapon categories (see table 2). On the same corpus, our algorithm yielded a ratio of.329 valid to total entries for the category vehicle, and.36 for the category weapon. This can be seen in the slope of the graphs in figure 1. Tables 2 and 5 give the relevant data for the categories that we investigated.","Most common adjectives are dropped in our compound noun analysis, since they occur with a wide variety of heads. We determined three ways to evaluate the output of the algorithm for usefulness. The first is the ratio of valid entries to total entries produced. (CITSEG) reported a ratio of.17 valid to total entries for both the vehicle and weapon categories (see table 2). On the same corpus, our algorithm yielded a ratio of.329 valid to total entries for the category vehicle, and.36 for the category weapon. This can be seen in the slope of the graphs in figure 1. Tables 2 and 5 give the relevant data for the categories that we investigated.",R & S,CoCoR0,,False,REFAUTHOR,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-21""}"
Teufel_original_dataset/CFC_distribution/additional/0008026.cfc-scixml,"As can be seen from the numbers reported in table 2, our algorithm generated from 2.4 to nearly 3 times as many valid terms for the two contrasting categories from the MUC corpus than the algorithm of R & S.","As can be seen from the numbers reported in table 2, our algorithm generated from 2.4 to nearly 3 times as many valid terms for the two contrasting categories from the MUC corpus than the algorithm of R & S.","As can be seen from the numbers reported in table 2, our algorithm generated from 2.4 to nearly 3 times as many valid terms for the two contrasting categories from the MUC corpus than the algorithm of (CITSEG).",S-146,146,DIV-7,Tables 2 and 5 give the relevant data for the categories that we investigated.,"In general, the ratio of valid to total entries fell between.2 and.4, even in the cases that the output was relatively small.",A second way to evaluate the algorithm is by the total number of valid entries produced.,Even more valid terms were generated for appropriate categories using the Wall Street Journal.,Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet.,Table 2 presents these numbers for the categories vehicle and weapon.,"Tables 2 and 5 give the relevant data for the categories that we investigated. In general, the ratio of valid to total entries fell between.2 and.4, even in the cases that the output was relatively small. A second way to evaluate the algorithm is by the total number of valid entries produced.",Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon.,"Tables 2 and 5 give the relevant data for the categories that we investigated. In general, the ratio of valid to total entries fell between.2 and.4, even in the cases that the output was relatively small. A second way to evaluate the algorithm is by the total number of valid entries produced. As can be seen from the numbers reported in table 2, our algorithm generated from 2.4 to nearly 3 times as many valid terms for the two contrasting categories from the MUC corpus than the algorithm of R & S. Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon.","Tables 2 and 5 give the relevant data for the categories that we investigated. In general, the ratio of valid to total entries fell between.2 and.4, even in the cases that the output was relatively small. A second way to evaluate the algorithm is by the total number of valid entries produced. As can be seen from the numbers reported in table 2, our algorithm generated from 2.4 to nearly 3 times as many valid terms for the two contrasting categories from the MUC corpus than the algorithm of (CITSEG). Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon.",R & S,CoCoR0,,False,REFAUTHOR,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-22"", ""LinkS"": ""2.4 to nearly 3 times as many X than the algorightm of Y""}"
Teufel_original_dataset/CFC_distribution/additional/0008026.cfc-scixml,"Whereas the R & S algorithm produced just 11 terms not already present in Wordnet for the two categories combined, our algorithm produced 106, or over 3 for every 5 valid terms produced.","Whereas the R & S algorithm produced just 11 terms not already present in Wordnet for the two categories combined, our algorithm produced 106, or over 3 for every 5 valid terms produced.","Whereas the (CITSEG) algorithm produced just 11 terms not already present in Wordnet for the two categories combined, our algorithm produced 106, or over 3 for every 5 valid terms produced.",S-150,150,DIV-7,Even more valid terms were generated for appropriate categories using the Wall Street Journal.,Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet.,Table 2 presents these numbers for the categories vehicle and weapon.,It is for this reason that we are billing our algorithm as something that could enhance existing broad-coverage resources with domain-specific lexical information.,,,Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon.,It is for this reason that we are billing our algorithm as something that could enhance existing broad-coverage resources with domain-specific lexical information.,"Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon. Whereas the R & S algorithm produced just 11 terms not already present in Wordnet for the two categories combined, our algorithm produced 106, or over 3 for every 5 valid terms produced. It is for this reason that we are billing our algorithm as something that could enhance existing broad-coverage resources with domain-specific lexical information.","Even more valid terms were generated for appropriate categories using the Wall Street Journal. Another way to evaluate the algorithm is with the number of valid entries produced that are not in Wordnet. Table 2 presents these numbers for the categories vehicle and weapon. Whereas the (CITSEG) algorithm produced just 11 terms not already present in Wordnet for the two categories combined, our algorithm produced 106, or over 3 for every 5 valid terms produced. It is for this reason that we are billing our algorithm as something that could enhance existing broad-coverage resources with domain-specific lexical information.",R & S,CoCoR0,,False,REFAUTHOR,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-23"", ""LinkS"": ""whereas X produced X, our algorithm produced 106""}"
Teufel_original_dataset/CFC_distribution/additional/0010020.cfc-scixml,One may note that the error reductions here are smaller than Palmer 1997 ' s error reductions.,One may note that the error reductions here are smaller than Palmer 1997 ' s error reductions.,One may note that the error reductions here are smaller than (CITSEG) ' s error reductions.,S-78,78,DIV-2 > DIV-4,"Here, the differences in recall and F-score between NI and either IaB or IaC (but not between IaB and IaC) are statistically significant.",The differences in precision is not.,"In these results, most of the modest F-score gain came from increasing recall.","Besides being for different tasks (word segmentation versus GRs), the reductions are also computed using a different type of baseline.","In Palmer 1997, the baseline is how well an existing system performs before the rules are run.","In this paper, the baseline is the performance of the rules learned without first using an existing system.","Here, the differences in recall and F-score between NI and either IaB or IaC (but not between IaB and IaC) are statistically significant. The differences in precision is not. In these results, most of the modest F-score gain came from increasing recall.","Besides being for different tasks (word segmentation versus GRs), the reductions are also computed using a different type of baseline. In Palmer 1997, the baseline is how well an existing system performs before the rules are run. In this paper, the baseline is the performance of the rules learned without first using an existing system.","Here, the differences in recall and F-score between NI and either IaB or IaC (but not between IaB and IaC) are statistically significant. The differences in precision is not. In these results, most of the modest F-score gain came from increasing recall. One may note that the error reductions here are smaller than Palmer 1997 ' s error reductions. Besides being for different tasks (word segmentation versus GRs), the reductions are also computed using a different type of baseline. In Palmer 1997, the baseline is how well an existing system performs before the rules are run. In this paper, the baseline is the performance of the rules learned without first using an existing system.","Here, the differences in recall and F-score between NI and either IaB or IaC (but not between IaB and IaC) are statistically significant. The differences in precision is not. In these results, most of the modest F-score gain came from increasing recall. One may note that the error reductions here are smaller than (CITSEG) ' s error reductions. Besides being for different tasks (word segmentation versus GRs), the reductions are also computed using a different type of baseline. In Palmer 1997, the baseline is how well an existing system performs before the rules are run. In this paper, the baseline is the performance of the rules learned without first using an existing system.",Palmer 1997,CoCoR0,,False,REF,"{""CFunc"": ""CoCoR0"", ""ID"": ""R-33""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9503023.cfc-scixml,Atwell 1987 and Church 1989 have used this approach.,Atwell 1987 and Church 1989 have used this approach.,(CITSEG) and Church 1989 have used this approach.,S-64,64,DIV-3 > DIV-4,,"In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases.","Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do.","If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994.","Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps.",There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.,"In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do.","If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.","In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do. Atwell 1987 and Church 1989 have used this approach. If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.","In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do. (CITSEG) and Church 1989 have used this approach. If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.",Atwell 1987,CoCoGM,A,False,REF,"{""CFunc"": ""CoCoGM"", ""ID"": ""R-5"", ""LinkS"": ""differs in that (S-66)"", ""TYPE"": ""A""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9503023.cfc-scixml,Atwell 1987 and Church 1989 have used this approach.,Atwell 1987 and Church 1989 have used this approach.,Atwell 1987 and (CITSEG) have used this approach.,S-64,64,DIV-3 > DIV-4,,"In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases.","Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do.","If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994.","Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps.",There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.,"In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do.","If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.","In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do. Atwell 1987 and Church 1989 have used this approach. If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.","In the same way that tags are allocated to words, or to punctuation marks, they can represent the boundaries of syntactic constituents, such as noun phrases and verb phrases. Boundary markers can be considered invisible tags, or hypertags, which have probabilistic relationships with adjacent tags in the same way that words do. Atwell 1987 and (CITSEG) have used this approach. If embedded syntactic constituents are sought in a single pass, this can lead to computation al overload Pocock and Atwell 1994. Our approach uses a similar concept, but differs in that embedded syntactic constituents are detected one at a time in separate steps. There are only 2 hypertags - the opening and closing brackets marking the possible location (s) of the syntactic constituent in question.",Church 1989,CoCoGM,A,False,REF,"{""CFunc"": ""CoCoGM"", ""ID"": ""R-6"", ""TYPE"": ""A""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9604022.cfc-scixml,This estimation of the rule value in fact resembles that used by Tzoukermann et al. 1995 for scoring POS - disambiguation rules for the French tagger.,This estimation of the rule value in fact resembles that used by Tzoukermann et al. 1995 for scoring POS - disambiguation rules for the French tagger.,This estimation of the rule value in fact resembles that used by (CITSEG) for scoring POS - disambiguation rules for the French tagger.,S-91,91,DIV-2 > DIV-6,This function favours the rules with higher estimates obtained over larger samples.,"Even if one rule has a high estimate but that estimate was obtained over a small sample, another rule with a lower estimate but over a large sample might be valued higher.",Note also that since itself is smoothed we will not have zeros in positive () or negative () outcome probabilities.,The main difference between the two functions is that there the z value was implicitly assumed to be 1 which corresponds to the confidence of 68 %.,A more standard approach is to adopt a rather high confidence value in the range of 90 - 95 %.,We adopted 90 % confidence for which.,"This function favours the rules with higher estimates obtained over larger samples. Even if one rule has a high estimate but that estimate was obtained over a small sample, another rule with a lower estimate but over a large sample might be valued higher. Note also that since itself is smoothed we will not have zeros in positive () or negative () outcome probabilities.",The main difference between the two functions is that there the z value was implicitly assumed to be 1 which corresponds to the confidence of 68 %. A more standard approach is to adopt a rather high confidence value in the range of 90 - 95 %. We adopted 90 % confidence for which.,"This function favours the rules with higher estimates obtained over larger samples. Even if one rule has a high estimate but that estimate was obtained over a small sample, another rule with a lower estimate but over a large sample might be valued higher. Note also that since itself is smoothed we will not have zeros in positive () or negative () outcome probabilities. This estimation of the rule value in fact resembles that used by Tzoukermann et al. 1995 for scoring POS - disambiguation rules for the French tagger. The main difference between the two functions is that there the z value was implicitly assumed to be 1 which corresponds to the confidence of 68 %. A more standard approach is to adopt a rather high confidence value in the range of 90 - 95 %. We adopted 90 % confidence for which.","This function favours the rules with higher estimates obtained over larger samples. Even if one rule has a high estimate but that estimate was obtained over a small sample, another rule with a lower estimate but over a large sample might be valued higher. Note also that since itself is smoothed we will not have zeros in positive () or negative () outcome probabilities. This estimation of the rule value in fact resembles that used by (CITSEG) for scoring POS - disambiguation rules for the French tagger. The main difference between the two functions is that there the z value was implicitly assumed to be 1 which corresponds to the confidence of 68 %. A more standard approach is to adopt a rather high confidence value in the range of 90 - 95 %. We adopted 90 % confidence for which.",Tzoukermann et al. 1995,CoCoGM,A,False,REF,"{""CFunc"": ""CoCoGM"", ""ID"": ""R-10"", ""LinkS"": "" The main difference"", ""TYPE"": ""A""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9604022.cfc-scixml,The cascading guesser performed better than Brill 's original guesser by about 8 % boosting the performance on the unknown words from 84.5 % to 92.2 %.,The cascading guesser performed better than Brill 's original guesser by about 8 % boosting the performance on the unknown words from 84.5 % to 92.2 %.,The cascading guesser performed better than (CITSEG) 's original guesser by about 8 % boosting the performance on the unknown words from 84.5 % to 92.2 %.,S-187,187,DIV-9,"When using the Xerox tagger with its original guesser, 63 unknown words were incorrectly tagged and the accuracy on the unknown words was measured at 81.8 %.",When the Xerox tagger was equipped with our cascading guesser its accuracy on unknown words increased by almost 9 % upto 90.5 %.,The same situation was detected with Brill 's tagger which in general was slightly more accurate than the Xerox one.,The accuracy of the taggers on the set of 347 unknown words when they were made known to the lexicon was detected at 98.5 % for both taggers.,In the second experiment we tagged the same text in the same way but with the small lexicon.,"Out of 5,970 words of the text, 2,215 were unknown to the small lexicon.","When using the Xerox tagger with its original guesser, 63 unknown words were incorrectly tagged and the accuracy on the unknown words was measured at 81.8 %. When the Xerox tagger was equipped with our cascading guesser its accuracy on unknown words increased by almost 9 % upto 90.5 %. The same situation was detected with Brill 's tagger which in general was slightly more accurate than the Xerox one.","The accuracy of the taggers on the set of 347 unknown words when they were made known to the lexicon was detected at 98.5 % for both taggers. In the second experiment we tagged the same text in the same way but with the small lexicon. Out of 5,970 words of the text, 2,215 were unknown to the small lexicon.","When using the Xerox tagger with its original guesser, 63 unknown words were incorrectly tagged and the accuracy on the unknown words was measured at 81.8 %. When the Xerox tagger was equipped with our cascading guesser its accuracy on unknown words increased by almost 9 % upto 90.5 %. The same situation was detected with Brill 's tagger which in general was slightly more accurate than the Xerox one. The cascading guesser performed better than Brill 's original guesser by about 8 % boosting the performance on the unknown words from 84.5 % to 92.2 %. The accuracy of the taggers on the set of 347 unknown words when they were made known to the lexicon was detected at 98.5 % for both taggers. In the second experiment we tagged the same text in the same way but with the small lexicon. Out of 5,970 words of the text, 2,215 were unknown to the small lexicon.","When using the Xerox tagger with its original guesser, 63 unknown words were incorrectly tagged and the accuracy on the unknown words was measured at 81.8 %. When the Xerox tagger was equipped with our cascading guesser its accuracy on unknown words increased by almost 9 % upto 90.5 %. The same situation was detected with Brill 's tagger which in general was slightly more accurate than the Xerox one. The cascading guesser performed better than (CITSEG) 's original guesser by about 8 % boosting the performance on the unknown words from 84.5 % to 92.2 %. The accuracy of the taggers on the set of 347 unknown words when they were made known to the lexicon was detected at 98.5 % for both taggers. In the second experiment we tagged the same text in the same way but with the small lexicon. Out of 5,970 words of the text, 2,215 were unknown to the small lexicon.",Brill,CoCo-,,False,REFAUTHOR,"{""CFunc"": ""CoCo-"", ""ID"": ""R-16"", ""LinkS"": ""performed better than""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9604022.cfc-scixml,The cascading guesser outperformed the guesser supplied with the Xerox tagger by about 8 - 9 % and the guesser supplied with Brill 's tagger by about 6 - 7 %.,The cascading guesser outperformed the guesser supplied with the Xerox tagger by about 8 - 9 % and the guesser supplied with Brill 's tagger by about 6 - 7 %.,The cascading guesser outperformed the guesser supplied with the Xerox tagger by about 8 - 9 % and the guesser supplied with (CITSEG) 's tagger by about 6 - 7 %.,S-207,207,DIV-10,"Using these training data three types of guessing rules are learned: prefix morphological rules, suffix morphological rules and ending-guessing rules.","To select best performing guessing rule-sets we suggested an evaluation methodology, which is solely dedicated to the performance of part-of-speech guessers.",Evaluation of tagging accuracy on unknown words using texts unseen by the guessers and the taggers at the training phase showed that tagging with the automatically induced cascading guesser was consistently more accurate than previously quoted results known to the author (85 %).,Tagging accuracy on unknown words using the cascading guesser was detected at 90 - 92 % when tagging with the full-fledged lexicon and 86 - 88 % when tagging with the closed-class and short word lexicon.,When the unknown words were made known to the lexicon the accuracy of tagging was detected at 96 - 98 % and 90 - 92 % respectively.,This makes the accuracy drop caused by the cascading guesser to be less than 6 % in general.,"Using these training data three types of guessing rules are learned: prefix morphological rules, suffix morphological rules and ending-guessing rules. To select best performing guessing rule-sets we suggested an evaluation methodology, which is solely dedicated to the performance of part-of-speech guessers. Evaluation of tagging accuracy on unknown words using texts unseen by the guessers and the taggers at the training phase showed that tagging with the automatically induced cascading guesser was consistently more accurate than previously quoted results known to the author (85 %).",Tagging accuracy on unknown words using the cascading guesser was detected at 90 - 92 % when tagging with the full-fledged lexicon and 86 - 88 % when tagging with the closed-class and short word lexicon. When the unknown words were made known to the lexicon the accuracy of tagging was detected at 96 - 98 % and 90 - 92 % respectively. This makes the accuracy drop caused by the cascading guesser to be less than 6 % in general.,"Using these training data three types of guessing rules are learned: prefix morphological rules, suffix morphological rules and ending-guessing rules. To select best performing guessing rule-sets we suggested an evaluation methodology, which is solely dedicated to the performance of part-of-speech guessers. Evaluation of tagging accuracy on unknown words using texts unseen by the guessers and the taggers at the training phase showed that tagging with the automatically induced cascading guesser was consistently more accurate than previously quoted results known to the author (85 %). The cascading guesser outperformed the guesser supplied with the Xerox tagger by about 8 - 9 % and the guesser supplied with Brill 's tagger by about 6 - 7 %. Tagging accuracy on unknown words using the cascading guesser was detected at 90 - 92 % when tagging with the full-fledged lexicon and 86 - 88 % when tagging with the closed-class and short word lexicon. When the unknown words were made known to the lexicon the accuracy of tagging was detected at 96 - 98 % and 90 - 92 % respectively. This makes the accuracy drop caused by the cascading guesser to be less than 6 % in general.","Using these training data three types of guessing rules are learned: prefix morphological rules, suffix morphological rules and ending-guessing rules. To select best performing guessing rule-sets we suggested an evaluation methodology, which is solely dedicated to the performance of part-of-speech guessers. Evaluation of tagging accuracy on unknown words using texts unseen by the guessers and the taggers at the training phase showed that tagging with the automatically induced cascading guesser was consistently more accurate than previously quoted results known to the author (85 %). The cascading guesser outperformed the guesser supplied with the Xerox tagger by about 8 - 9 % and the guesser supplied with (CITSEG) 's tagger by about 6 - 7 %. Tagging accuracy on unknown words using the cascading guesser was detected at 90 - 92 % when tagging with the full-fledged lexicon and 86 - 88 % when tagging with the closed-class and short word lexicon. When the unknown words were made known to the lexicon the accuracy of tagging was detected at 96 - 98 % and 90 - 92 % respectively. This makes the accuracy drop caused by the cascading guesser to be less than 6 % in general.",Brill,CoCo-,,False,REFAUTHOR,"{""CFunc"": ""CoCo-"", ""ID"": ""R-19"", ""LinkS"": ""outperformed""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9706013.cfc-scixml,"Our approach was motivated by Yarowsky's word sense disambiguation algorithm Yarowsky 1992 and the notion of statistical salience, although our system uses somewhat different statistical measures and techniques.","Our approach was motivated by Yarowsky's word sense disambiguation algorithm Yarowsky 1992 and the notion of statistical salience, although our system uses somewhat different statistical measures and techniques.","Our approach was motivated by Yarowsky's word sense disambiguation algorithm (CITSEG) and the notion of statistical salience, although our system uses somewhat different statistical measures and techniques.",S-21,21,DIV-2,"Our work is based on the observation that category members are often surrounded by other category members in text, for example in conjunctions (lions and tigers and bears), lists (lions, tigers, bears...","), appositives (the stallion, a white Arabian), and nominal compounds (Arabian stallion; tuna fish).","Given a few category members, we wondered whether it would be possible to collect surrounding contexts and use statistics to identify other words that also belong to the category.",We begin with a small set of seed words for a category.,"We experimented with different numbers of seed words, but were surprised to find that only 5 seed words per category worked quite well.","As an example, the seed word lists used in our experiments are shown below.","Our work is based on the observation that category members are often surrounded by other category members in text, for example in conjunctions (lions and tigers and bears), lists (lions, tigers, bears... ), appositives (the stallion, a white Arabian), and nominal compounds (Arabian stallion; tuna fish). Given a few category members, we wondered whether it would be possible to collect surrounding contexts and use statistics to identify other words that also belong to the category.","We begin with a small set of seed words for a category. We experimented with different numbers of seed words, but were surprised to find that only 5 seed words per category worked quite well. As an example, the seed word lists used in our experiments are shown below.","Our work is based on the observation that category members are often surrounded by other category members in text, for example in conjunctions (lions and tigers and bears), lists (lions, tigers, bears... ), appositives (the stallion, a white Arabian), and nominal compounds (Arabian stallion; tuna fish). Given a few category members, we wondered whether it would be possible to collect surrounding contexts and use statistics to identify other words that also belong to the category. Our approach was motivated by Yarowsky's word sense disambiguation algorithm Yarowsky 1992 and the notion of statistical salience, although our system uses somewhat different statistical measures and techniques. We begin with a small set of seed words for a category. We experimented with different numbers of seed words, but were surprised to find that only 5 seed words per category worked quite well. As an example, the seed word lists used in our experiments are shown below.","Our work is based on the observation that category members are often surrounded by other category members in text, for example in conjunctions (lions and tigers and bears), lists (lions, tigers, bears... ), appositives (the stallion, a white Arabian), and nominal compounds (Arabian stallion; tuna fish). Given a few category members, we wondered whether it would be possible to collect surrounding contexts and use statistics to identify other words that also belong to the category. Our approach was motivated by Yarowsky's word sense disambiguation algorithm (CITSEG) and the notion of statistical salience, although our system uses somewhat different statistical measures and techniques. We begin with a small set of seed words for a category. We experimented with different numbers of seed words, but were surprised to find that only 5 seed words per category worked quite well. As an example, the seed word lists used in our experiments are shown below.",Yarowsky 1992,CoCoGM,,False,REF,"{""CFunc"": ""CoCoGM"", ""ID"": ""R-3""}"
Teufel_original_dataset/CFC_distribution/2006_paper_training/9706013.cfc-scixml,Note that our context window is much narrower than those used by other researchers Yarowsky 1992.,Note that our context window is much narrower than those used by other researchers Yarowsky 1992.,Note that our context window is much narrower than those used by other researchers (CITSEG).,S-40,40,DIV-2,"We use a very narrow context window consisting of only two words, the first noun to the word's right and the first noun to its left.","We collected only nouns under the assumption that most, if not all, true category members would be nouns.",The context windows do not cut across sentence boundaries.,We experimented with larger window sizes and found that the narrow windows more consistently included words related to the target category.,3.,"Given the context windows for a category, we compute a category score for each word, which is essentially the conditional probability that the word appears in a category context.","We use a very narrow context window consisting of only two words, the first noun to the word's right and the first noun to its left. We collected only nouns under the assumption that most, if not all, true category members would be nouns. The context windows do not cut across sentence boundaries.","We experimented with larger window sizes and found that the narrow windows more consistently included words related to the target category. 3. Given the context windows for a category, we compute a category score for each word, which is essentially the conditional probability that the word appears in a category context.","We use a very narrow context window consisting of only two words, the first noun to the word's right and the first noun to its left. We collected only nouns under the assumption that most, if not all, true category members would be nouns. The context windows do not cut across sentence boundaries. Note that our context window is much narrower than those used by other researchers Yarowsky 1992. We experimented with larger window sizes and found that the narrow windows more consistently included words related to the target category. 3. Given the context windows for a category, we compute a category score for each word, which is essentially the conditional probability that the word appears in a category context.","We use a very narrow context window consisting of only two words, the first noun to the word's right and the first noun to its left. We collected only nouns under the assumption that most, if not all, true category members would be nouns. The context windows do not cut across sentence boundaries. Note that our context window is much narrower than those used by other researchers (CITSEG). We experimented with larger window sizes and found that the narrow windows more consistently included words related to the target category. 3. Given the context windows for a category, we compute a category score for each word, which is essentially the conditional probability that the word appears in a category context.",Yarowsky 1992,CoCoGM,,False,REF,"{""CFunc"": ""CoCoGM"", ""ID"": ""R-4""}"
